session,vote_number,vote_question_text,member_full,vote_cast,vote_id,numerical_vote
1,219,On Passage of the Bill H.R. 2775,Markey (D-MA),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,McCain (R-AZ),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,McCaskill (D-MO),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,McConnell (R-KY),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Menendez (D-NJ),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Merkley (D-OR),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Mikulski (D-MD),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Moran (R-KS),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Murkowski (R-AK),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Murphy (D-CT),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Murray (D-WA),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Nelson (D-FL),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Paul (R-KY),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Portman (R-OH),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Pryor (D-AR),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Reed (D-RI),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Reid (D-NV),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Risch (R-ID),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Roberts (R-KS),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Rockefeller (D-WV),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Rubio (R-FL),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Sanders (I-VT),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Schatz (D-HI),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Schumer (D-NY),Yea,1:219,2
